index,fR,fGV,fSoil,year,lat_utm18n,lon_utm18n,lat_degrees,lon_degrees,photo_id,residue_type,cover_crop_residue,R_427,R_482,R_547,R_604,R_660,R_723,R_824,R_914,R_1209,R_1572,R_1661,R_1730,R_2164,R_2202,R_2259,R_2329,R_swir1,R_swir2,wi,ndti,swira,sindri,sidri,ndvi
431,0.245,0.030816327,0.724183673,5/3/2017,4302754.365,417774.7195,38.869793,-75.94783,IMG_2931.JPG,cereal_maize,Yes,0.100,0.111,0.146,0.181,0.209,0.255,0.288,0.318,0.365,0.355,0.375,0.377,0.334,0.339,0.315,0.295,0.365,0.329,1.108,0.051,0.151,0.036,0.024,0.158
432,0.58,0.02,0.4,5/3/2017,4302683.996,417785.8754,38.86916,-75.947693,IMG_2933.JPG,cereal,Yes,0.096,0.107,0.139,0.171,0.196,0.244,0.278,0.306,0.356,0.352,0.374,0.376,0.335,0.341,0.316,0.294,0.363,0.330,1.099,0.047,0.137,0.039,0.026,0.172
433,0.79,0.049736842,0.160263158,5/3/2017,4300489.183,418064.6808,38.84941,-75.944218,IMG_2268.JPG,cereal,Yes,0.110,0.114,0.142,0.169,0.194,0.258,0.303,0.341,0.392,0.360,0.384,0.386,0.328,0.338,0.306,0.285,0.372,0.324,1.148,0.069,0.202,0.050,0.032,0.219
434,0.895,0.03,0.075,5/3/2017,4300489.859,418063.6464,38.849416,-75.94423,IMG_2269.JPG,cereal,Yes,0.110,0.114,0.142,0.169,0.194,0.258,0.303,0.341,0.392,0.360,0.384,0.386,0.328,0.338,0.306,0.285,0.372,0.324,1.148,0.069,0.202,0.050,0.032,0.219
435,0.895,0.021,0.084,5/3/2017,4300489.859,418063.6464,38.849416,-75.94423,IMG_2269B.JPG,cereal,Yes,0.110,0.114,0.142,0.169,0.194,0.258,0.303,0.341,0.392,0.360,0.384,0.386,0.328,0.338,0.306,0.285,0.372,0.324,1.148,0.069,0.202,0.050,0.032,0.219
436,0.815,0.052857143,0.132142857,5/3/2017,4300489.859,418063.6464,38.849416,-75.94423,IMG_2269C.JPG,cereal,Yes,0.110,0.114,0.142,0.169,0.194,0.258,0.303,0.341,0.392,0.360,0.384,0.386,0.328,0.338,0.306,0.285,0.372,0.324,1.148,0.069,0.202,0.050,0.032,0.219
437,0.815,0.037,0.148,5/3/2017,4300489.859,418063.6464,38.849416,-75.94423,IMG_2269D.JPG,cereal,Yes,0.110,0.114,0.142,0.169,0.194,0.258,0.303,0.341,0.392,0.360,0.384,0.386,0.328,0.338,0.306,0.285,0.372,0.324,1.148,0.069,0.202,0.050,0.032,0.219
438,0.855,0.055769231,0.089230769,5/3/2017,4300466.525,418119.9903,38.849211,-75.943578,IMG_2272.JPG,cereal,Yes,0.111,0.116,0.145,0.173,0.198,0.262,0.308,0.345,0.396,0.363,0.385,0.388,0.334,0.343,0.311,0.292,0.374,0.329,1.136,0.064,0.189,0.048,0.032,0.216
439,0.845,0.02137931,0.13362069,5/3/2017,4300472.312,418140.0111,38.849265,-75.943348,IMG_2273.JPG,cereal,Yes,0.113,0.118,0.148,0.175,0.202,0.266,0.313,0.352,0.398,0.366,0.389,0.390,0.335,0.344,0.314,0.294,0.377,0.331,1.140,0.065,0.196,0.047,0.031,0.215
440,0.845,0.027352941,0.127647059,5/3/2017,4300472.312,418140.0111,38.849265,-75.943348,IMG_2273B.JPG,cereal,Yes,0.113,0.118,0.148,0.175,0.202,0.266,0.313,0.352,0.398,0.366,0.389,0.390,0.335,0.344,0.314,0.294,0.377,0.331,1.140,0.065,0.196,0.047,0.031,0.215
441,0.815,0.025517241,0.159482759,5/3/2017,4300472.312,418140.0111,38.849265,-75.943348,IMG_2273C.JPG,cereal,Yes,0.113,0.118,0.148,0.175,0.202,0.266,0.313,0.352,0.398,0.366,0.389,0.390,0.335,0.344,0.314,0.294,0.377,0.331,1.140,0.065,0.196,0.047,0.031,0.215
442,0.815,0.032647059,0.152352941,5/3/2017,4300472.312,418140.0111,38.849265,-75.943348,IMG_2273D.JPG,cereal,Yes,0.113,0.118,0.148,0.175,0.202,0.266,0.313,0.352,0.398,0.366,0.389,0.390,0.335,0.344,0.314,0.294,0.377,0.331,1.140,0.065,0.196,0.047,0.031,0.215
443,0.47,0.027894737,0.502105263,5/3/2017,4300501.551,418135.1059,38.849528,-75.943408,IMG_2274.JPG,cereal,Yes,0.112,0.116,0.145,0.173,0.200,0.263,0.310,0.350,0.400,0.365,0.390,0.391,0.334,0.345,0.312,0.293,0.378,0.330,1.143,0.067,0.199,0.049,0.032,0.216
444,0.71,0.042647059,0.247352941,5/3/2017,4300539.542,418131.7665,38.84987,-75.943451,IMG_2275.JPG,cereal,Yes,0.115,0.119,0.149,0.178,0.206,0.270,0.317,0.358,0.397,0.367,0.388,0.392,0.341,0.349,0.319,0.299,0.378,0.337,1.121,0.057,0.172,0.045,0.030,0.212
445,0.71,0.086216216,0.203783784,5/3/2017,4300539.542,418131.7665,38.84987,-75.943451,IMG_2275B.JPG,cereal,Yes,0.115,0.119,0.149,0.178,0.206,0.270,0.317,0.358,0.397,0.367,0.388,0.392,0.341,0.349,0.319,0.299,0.378,0.337,1.121,0.057,0.172,0.045,0.030,0.212
446,0.74,0.038235294,0.221764706,5/3/2017,4300539.542,418131.7665,38.84987,-75.943451,IMG_2275C.JPG,cereal,Yes,0.115,0.119,0.149,0.178,0.206,0.270,0.317,0.358,0.397,0.367,0.388,0.392,0.341,0.349,0.319,0.299,0.378,0.337,1.121,0.057,0.172,0.045,0.030,0.212
447,0.74,0.077297297,0.182702703,5/3/2017,4300539.542,418131.7665,38.84987,-75.943451,IMG_2275D.JPG,cereal,Yes,0.115,0.119,0.149,0.178,0.206,0.270,0.317,0.358,0.397,0.367,0.388,0.392,0.341,0.349,0.319,0.299,0.378,0.337,1.121,0.057,0.172,0.045,0.030,0.212
448,0.655,0.046779661,0.298220339,5/3/2017,4300567.329,418127.7143,38.85012,-75.943501,IMG_2276.JPG,cereal,Yes,0.115,0.118,0.148,0.176,0.202,0.266,0.310,0.349,0.395,0.367,0.388,0.392,0.340,0.349,0.319,0.298,0.377,0.336,1.124,0.058,0.176,0.045,0.030,0.211
449,0.785,0.02047619,0.19452381,5/3/2017,4300587.894,418124.5421,38.850305,-75.94354,IMG_2277.JPG,cereal,Yes,0.116,0.120,0.149,0.177,0.203,0.264,0.309,0.347,0.390,0.361,0.383,0.386,0.335,0.343,0.313,0.294,0.372,0.330,1.127,0.060,0.177,0.045,0.030,0.207
450,0.785,0.018859649,0.196140351,5/3/2017,4300587.894,418124.5421,38.850305,-75.94354,IMG_2277B.JPG,cereal,Yes,0.116,0.120,0.149,0.177,0.203,0.264,0.309,0.347,0.390,0.361,0.383,0.386,0.335,0.343,0.313,0.294,0.372,0.330,1.127,0.060,0.177,0.045,0.030,0.207
451,0.7,0.028571429,0.271428571,5/3/2017,4300587.894,418124.5421,38.850305,-75.94354,IMG_2277C.JPG,cereal,Yes,0.116,0.120,0.149,0.177,0.203,0.264,0.309,0.347,0.390,0.361,0.383,0.386,0.335,0.343,0.313,0.294,0.372,0.330,1.127,0.060,0.177,0.045,0.030,0.207
452,0.7,0.026315789,0.273684211,5/3/2017,4300587.894,418124.5421,38.850305,-75.94354,IMG_2277D.JPG,cereal,Yes,0.116,0.120,0.149,0.177,0.203,0.264,0.309,0.347,0.390,0.361,0.383,0.386,0.335,0.343,0.313,0.294,0.372,0.330,1.127,0.060,0.177,0.045,0.030,0.207
453,0.51,0.0153125,0.4746875,5/3/2017,4300568,418095.0029,38.850123,-75.943878,IMG_2278.JPG,cereal,Yes,0.112,0.116,0.145,0.170,0.195,0.256,0.301,0.338,0.376,0.353,0.376,0.380,0.330,0.340,0.311,0.290,0.364,0.327,1.113,0.054,0.157,0.045,0.029,0.212
454,0.71,0.058,0.232,5/3/2017,4300539.672,418065.4632,38.849865,-75.944215,IMG_2279.JPG,cereal,Yes,0.113,0.115,0.144,0.172,0.195,0.258,0.301,0.339,0.369,0.346,0.369,0.374,0.326,0.334,0.306,0.286,0.358,0.322,1.111,0.053,0.151,0.044,0.028,0.213
455,0.71,0.044615385,0.245384615,5/3/2017,4300539.672,418065.4632,38.849865,-75.944215,IMG_2279B.JPG,cereal,Yes,0.113,0.115,0.144,0.172,0.195,0.258,0.301,0.339,0.369,0.346,0.369,0.374,0.326,0.334,0.306,0.286,0.358,0.322,1.111,0.053,0.151,0.044,0.028,0.213
456,0.19,0,0.81,5/3/2017,4300516.014,417949.2717,38.849641,-75.945551,IMG_2282.JPG,cereal,Yes,0.108,0.108,0.136,0.159,0.177,0.228,0.259,0.286,0.308,0.258,0.273,0.278,0.226,0.228,0.219,0.203,0.265,0.224,1.183,0.084,0.173,0.018,0.008,0.187
457,0.19,0,0.81,5/3/2017,4300516.014,417949.2717,38.849641,-75.945551,IMG_2282.JPG,cereal,Yes,0.108,0.108,0.136,0.159,0.177,0.228,0.259,0.286,0.308,0.258,0.273,0.278,0.226,0.228,0.219,0.203,0.265,0.224,1.183,0.084,0.173,0.018,0.008,0.187
458,0.225,0,0.775,5/3/2017,4300516.014,417949.2717,38.849641,-75.945551,IMG_2282B.JPG,cereal,No,0.108,0.108,0.136,0.159,0.177,0.228,0.259,0.286,0.308,0.258,0.273,0.278,0.226,0.228,0.219,0.203,0.265,0.224,1.183,0.084,0.173,0.018,0.008,0.187
459,0.225,0,0.775,5/3/2017,4300516.014,417949.2717,38.849641,-75.945551,IMG_2282C.JPG,cereal,No,0.108,0.108,0.136,0.159,0.177,0.228,0.259,0.286,0.308,0.258,0.273,0.278,0.226,0.228,0.219,0.203,0.265,0.224,1.183,0.084,0.173,0.018,0.008,0.187
460,0.015,0,0.985,5/3/2017,4300515.678,417917.4176,38.849635,-75.945918,IMG_2283.JPG,soy,No,0.110,0.112,0.141,0.167,0.187,0.241,0.274,0.302,0.318,0.263,0.278,0.283,0.230,0.232,0.223,0.207,0.271,0.228,1.185,0.085,0.178,0.020,0.009,0.189
461,0.22,0.005131579,0.774868421,5/3/2017,4300536.988,417874.4187,38.849823,-75.946416,IMG_2284.JPG,cereal,Yes,0.109,0.109,0.137,0.164,0.183,0.238,0.271,0.296,0.325,0.265,0.281,0.284,0.230,0.232,0.223,0.206,0.273,0.228,1.195,0.089,0.187,0.021,0.010,0.194
462,0.22,0.023111111,0.756888889,5/3/2017,4300536.988,417874.4187,38.849823,-75.946416,IMG_2284B.JPG,cereal,Yes,0.109,0.109,0.137,0.164,0.183,0.238,0.271,0.296,0.325,0.265,0.281,0.284,0.230,0.232,0.223,0.206,0.273,0.228,1.195,0.089,0.187,0.021,0.010,0.194
463,0.28,0.004736842,0.715263158,5/3/2017,4300536.988,417874.4187,38.849823,-75.946416,IMG_2284C.JPG,cereal,Yes,0.109,0.109,0.137,0.164,0.183,0.238,0.271,0.296,0.325,0.265,0.281,0.284,0.230,0.232,0.223,0.206,0.273,0.228,1.195,0.089,0.187,0.021,0.010,0.194
464,0.28,0.021333333,0.698666667,5/3/2017,4300536.988,417874.4187,38.849823,-75.946416,IMG_2284D.JPG,cereal,Yes,0.109,0.109,0.137,0.164,0.183,0.238,0.271,0.296,0.325,0.265,0.281,0.284,0.230,0.232,0.223,0.206,0.273,0.228,1.195,0.089,0.187,0.021,0.010,0.194
465,0.065,0,0.935,5/3/2017,4300541.647,417853.2043,38.849863,-75.946661,IMG_2285.JPG,cereal,No,0.111,0.111,0.139,0.165,0.184,0.239,0.272,0.300,0.328,0.268,0.284,0.287,0.233,0.236,0.226,0.210,0.276,0.232,1.191,0.087,0.187,0.021,0.010,0.195
466,0.105,0.005085227,0.889914773,5/3/2017,4300575.185,417851.2087,38.850165,-75.946688,IMG_2286.JPG,cereal,No,0.111,0.114,0.142,0.170,0.189,0.248,0.284,0.311,0.327,0.267,0.282,0.286,0.233,0.235,0.226,0.210,0.274,0.231,1.186,0.085,0.182,0.020,0.009,0.201
467,0.105,0,0.895,5/3/2017,4300575.185,417851.2087,38.850165,-75.946688,IMG_2286B.JPG,cereal,No,0.111,0.114,0.142,0.170,0.189,0.248,0.284,0.311,0.327,0.267,0.282,0.286,0.233,0.235,0.226,0.210,0.274,0.231,1.186,0.085,0.182,0.020,0.009,0.201
468,0.2,0.004545455,0.795454545,5/3/2017,4300575.185,417851.2087,38.850165,-75.946688,IMG_2286C.JPG,cereal,No,0.111,0.114,0.142,0.170,0.189,0.248,0.284,0.311,0.327,0.267,0.282,0.286,0.233,0.235,0.226,0.210,0.274,0.231,1.186,0.085,0.182,0.020,0.009,0.201
469,0.2,0,0.8,5/3/2017,4300575.185,417851.2087,38.850165,-75.946688,IMG_2286D.JPG,cereal,No,0.111,0.114,0.142,0.170,0.189,0.248,0.284,0.311,0.327,0.267,0.282,0.286,0.233,0.235,0.226,0.210,0.274,0.231,1.186,0.085,0.182,0.020,0.009,0.201
470,0.095,0,0.905,5/3/2017,4300617.049,417859.6269,38.850543,-75.946596,IMG_2287.JPG,cereal,Yes,0.112,0.113,0.141,0.169,0.186,0.246,0.280,0.307,0.320,0.262,0.278,0.281,0.231,0.234,0.224,0.208,0.270,0.230,1.175,0.081,0.170,0.021,0.010,0.200
471,0.135,0,0.865,5/3/2017,4300700.688,417874.4661,38.851298,-75.946435,IMG_2289.JPG,cereal,Yes,0.111,0.111,0.139,0.169,0.187,0.248,0.282,0.311,0.323,0.262,0.278,0.280,0.224,0.226,0.219,0.200,0.270,0.223,1.209,0.095,0.197,0.017,0.008,0.202
472,0.085,0.005027473,0.909972527,5/3/2017,4300744.688,417890.9772,38.851696,-75.94625,IMG_2291.JPG,cereal,No,0.112,0.112,0.139,0.169,0.188,0.245,0.277,0.304,0.318,0.261,0.277,0.280,0.225,0.227,0.219,0.202,0.269,0.223,1.204,0.093,0.192,0.018,0.008,0.192
473,0.08,0.010337079,0.909662921,5/3/2017,4300657.23,417923.3965,38.850911,-75.945866,IMG_2293.JPG,cereal,No,0.111,0.110,0.140,0.168,0.186,0.245,0.276,0.305,0.316,0.259,0.275,0.280,0.226,0.228,0.221,0.204,0.267,0.225,1.189,0.086,0.179,0.016,0.007,0.194
474,0.15,0.030909091,0.819090909,5/3/2017,4300567.57,417954.2316,38.850106,-75.9455,IMG_2295.JPG,cereal,No,0.108,0.108,0.136,0.161,0.179,0.236,0.270,0.298,0.316,0.262,0.277,0.283,0.231,0.232,0.224,0.207,0.269,0.229,1.177,0.081,0.171,0.018,0.008,0.203
475,0.07,0.145662651,0.784337349,5/3/2017,4300759.981,418312.0372,38.851873,-75.9414,IMG_2300.JPG,soy,No,0.117,0.114,0.141,0.166,0.181,0.231,0.258,0.285,0.306,0.261,0.277,0.284,0.236,0.237,0.229,0.213,0.269,0.234,1.151,0.070,0.149,0.019,0.009,0.173
476,0.185,0.131275168,0.683724832,5/3/2017,4300720.568,418313.3667,38.851518,-75.94138,IMG_2301.JPG,soy,No,0.119,0.116,0.142,0.168,0.184,0.237,0.265,0.295,0.309,0.260,0.276,0.283,0.234,0.236,0.227,0.211,0.268,0.232,1.154,0.072,0.151,0.020,0.009,0.180
477,0.025,0.140086207,0.834913793,5/3/2017,4300677.304,418311.5322,38.851128,-75.941396,IMG_2302.JPG,soy,No,0.122,0.119,0.146,0.171,0.188,0.240,0.267,0.298,0.314,0.265,0.281,0.288,0.239,0.242,0.232,0.216,0.273,0.238,1.150,0.070,0.150,0.020,0.010,0.175
478,0.24,0.138181818,0.621818182,5/3/2017,4300647.451,418322.0726,38.85086,-75.941271,IMG_2303.JPG,soy,No,0.122,0.119,0.148,0.176,0.193,0.247,0.274,0.303,0.319,0.268,0.284,0.291,0.241,0.243,0.233,0.217,0.276,0.239,1.157,0.073,0.158,0.020,0.010,0.174
479,0.01,0.143,0.847,5/3/2017,4300609.744,418330.1889,38.850521,-75.941173,IMG_2304.JPG,soy,No,0.118,0.116,0.143,0.168,0.185,0.237,0.264,0.292,0.319,0.267,0.284,0.290,0.240,0.243,0.232,0.217,0.276,0.238,1.157,0.073,0.158,0.022,0.011,0.175
480,0.175,0.169230769,0.655769231,5/3/2017,4300576.706,418348.3338,38.850225,-75.94096,IMG_2305.JPG,soy,No,0.122,0.119,0.150,0.180,0.198,0.255,0.282,0.311,0.331,0.279,0.296,0.301,0.246,0.248,0.238,0.221,0.288,0.244,1.178,0.082,0.183,0.020,0.009,0.176
481,0.02,0.190555556,0.789444444,5/3/2017,4300545.429,418378.7339,38.849946,-75.940606,IMG_2306.JPG,soy,No,0.120,0.117,0.147,0.176,0.195,0.251,0.279,0.307,0.325,0.270,0.287,0.292,0.236,0.238,0.229,0.212,0.278,0.234,1.187,0.086,0.185,0.020,0.009,0.178
482,0.13,0.102352941,0.767647059,5/3/2017,4300507.991,418393.102,38.84961,-75.940436,IMG_2307.JPG,soy,No,0.118,0.115,0.145,0.171,0.188,0.242,0.269,0.297,0.315,0.265,0.281,0.287,0.238,0.240,0.231,0.214,0.273,0.236,1.154,0.072,0.154,0.020,0.010,0.178
483,0,0.169312169,0.830687831,5/3/2017,4300494.891,418436.6208,38.849496,-75.939933,IMG_2308.JPG,soy,No,0.116,0.114,0.140,0.166,0.182,0.237,0.266,0.294,0.312,0.262,0.280,0.287,0.236,0.238,0.228,0.213,0.271,0.234,1.159,0.074,0.157,0.021,0.010,0.188
484,0.13,0.214675325,0.655324675,5/3/2017,4300523.604,418472.0647,38.849758,-75.939528,IMG_2309.JPG,soy,No,0.115,0.113,0.138,0.162,0.178,0.230,0.257,0.285,0.304,0.260,0.277,0.285,0.237,0.239,0.230,0.215,0.269,0.235,1.143,0.067,0.142,0.019,0.009,0.180
485,0.01,0.164117647,0.825882353,5/3/2017,4300589.392,418474.4772,38.850351,-75.939508,IMG_2310.JPG,soy,No,0.118,0.116,0.145,0.172,0.189,0.244,0.273,0.301,0.321,0.272,0.289,0.297,0.242,0.245,0.234,0.218,0.281,0.241,1.167,0.077,0.170,0.022,0.010,0.181
486,0.17,0.16388535,0.66611465,5/3/2017,4300645.157,418437.1258,38.85085,-75.939945,IMG_2311.JPG,soy,No,0.119,0.117,0.147,0.175,0.193,0.246,0.272,0.300,0.312,0.267,0.283,0.289,0.239,0.240,0.232,0.215,0.275,0.237,1.160,0.074,0.160,0.019,0.009,0.170
487,0.085,0.081213018,0.833786982,5/3/2017,4300684.402,418408.8908,38.851201,-75.940275,IMG_2312.JPG,soy,No,0.121,0.117,0.144,0.172,0.188,0.244,0.271,0.302,0.313,0.260,0.278,0.284,0.230,0.233,0.224,0.206,0.269,0.229,1.174,0.080,0.168,0.020,0.009,0.182
488,0.205,0.149395973,0.645604027,5/3/2017,4300725.234,418377.5482,38.851566,-75.940641,IMG_2313.JPG,soy,No,0.118,0.115,0.145,0.175,0.193,0.248,0.274,0.302,0.319,0.263,0.281,0.286,0.231,0.234,0.224,0.206,0.272,0.230,1.184,0.084,0.178,0.022,0.010,0.173
489,0.01,0.132,0.858,5/3/2017,4300779.328,418351.6364,38.852051,-75.940946,IMG_2314.JPG,soy,No,0.116,0.112,0.136,0.159,0.174,0.227,0.256,0.286,0.324,0.260,0.279,0.285,0.227,0.231,0.220,0.202,0.270,0.226,1.193,0.088,0.185,0.023,0.010,0.191
490,0.55,0,0.45,5/3/2017,4301091.809,418712.4765,38.8549,-75.936825,IMG_2330.JPG,cereal_maize,Yes,0.119,0.125,0.161,0.190,0.213,0.287,0.336,0.374,0.431,0.386,0.412,0.411,0.344,0.353,0.319,0.297,0.399,0.339,1.177,0.081,0.253,0.051,0.034,0.225
491,0.545,0.073783784,0.381216216,5/3/2017,4301122.342,418743.7701,38.855178,-75.936468,IMG_2332.JPG,cereal_maize,Yes,0.130,0.135,0.167,0.198,0.225,0.284,0.325,0.364,0.432,0.403,0.427,0.426,0.365,0.374,0.338,0.314,0.415,0.359,1.156,0.072,0.236,0.051,0.036,0.182
492,0.52,0,0.48,5/3/2017,4301109.907,418787.4663,38.85507,-75.935963,IMG_2334.JPG,cereal_maize,No,0.128,0.134,0.165,0.195,0.222,0.276,0.314,0.352,0.421,0.407,0.429,0.431,0.372,0.382,0.346,0.325,0.418,0.367,1.139,0.065,0.215,0.049,0.036,0.172
493,0.77,0,0.23,5/3/2017,4301038.053,418792.197,38.854423,-75.9359,IMG_2336.JPG,cereal_maize,No,0.128,0.135,0.166,0.195,0.222,0.277,0.316,0.353,0.424,0.414,0.437,0.439,0.382,0.392,0.355,0.333,0.426,0.376,1.131,0.062,0.208,0.049,0.036,0.175
494,0.59,0,0.41,5/3/2017,4300997.406,418805.6654,38.854058,-75.93574,IMG_2337.JPG,cereal_maize,No,0.130,0.137,0.168,0.197,0.224,0.279,0.320,0.356,0.425,0.421,0.445,0.447,0.394,0.405,0.366,0.343,0.433,0.388,1.116,0.055,0.190,0.051,0.039,0.176
495,0.59,0,0.41,5/3/2017,4300977.312,418817.0882,38.853878,-75.935606,IMG_2338.JPG,cereal_maize,No,0.128,0.133,0.164,0.192,0.218,0.274,0.314,0.351,0.416,0.406,0.428,0.430,0.377,0.386,0.351,0.330,0.417,0.372,1.122,0.057,0.191,0.047,0.035,0.179
496,0.57,0,0.43,5/3/2017,4301023.393,418728.263,38.854285,-75.936635,IMG_2341.JPG,cereal_maize,No,0.116,0.122,0.157,0.186,0.209,0.278,0.325,0.364,0.412,0.368,0.394,0.394,0.328,0.337,0.307,0.285,0.381,0.324,1.178,0.082,0.243,0.046,0.030,0.219
497,0.47,0,0.53,5/3/2017,4301049.432,418689.045,38.854516,-75.93709,IMG_2342.JPG,cereal_maize,Yes,0.110,0.116,0.154,0.178,0.193,0.281,0.335,0.369,0.401,0.335,0.363,0.362,0.294,0.305,0.274,0.253,0.349,0.291,1.199,0.091,0.245,0.053,0.031,0.269
498,0.58,0,0.42,5/3/2017,4301107.902,418658.4042,38.85504,-75.93745,IMG_2343.JPG,cereal_maize,Yes,0.122,0.125,0.159,0.189,0.212,0.281,0.327,0.366,0.404,0.363,0.385,0.386,0.328,0.335,0.307,0.284,0.374,0.323,1.155,0.072,0.212,0.044,0.028,0.213
499,0.185,0,0.815,5/3/2017,4300424.621,418600.186,38.848878,-75.93804,IMG_2362.JPG,cereal,Yes,0.119,0.128,0.160,0.186,0.204,0.266,0.299,0.328,0.341,0.301,0.322,0.329,0.285,0.290,0.273,0.257,0.312,0.283,1.103,0.049,0.123,0.029,0.016,0.189
500,0.36,0,0.64,5/3/2017,4300379.093,418602.6692,38.848468,-75.938006,IMG_2363.JPG,cereal,Yes,0.118,0.130,0.165,0.192,0.212,0.276,0.309,0.337,0.352,0.310,0.331,0.338,0.293,0.298,0.281,0.265,0.321,0.291,1.103,0.049,0.126,0.031,0.018,0.186
501,0.065,0,0.935,5/3/2017,4300347.734,418608.6827,38.848186,-75.937933,IMG_2364.JPG,cereal,Yes,0.119,0.131,0.167,0.194,0.214,0.278,0.311,0.340,0.350,0.304,0.325,0.332,0.285,0.290,0.274,0.256,0.314,0.283,1.112,0.053,0.134,0.029,0.016,0.185
502,0.365,0,0.635,5/3/2017,4300315.364,418615.9009,38.847895,-75.937846,IMG_2365.JPG,cereal,Yes,0.117,0.129,0.164,0.192,0.212,0.274,0.307,0.334,0.364,0.315,0.337,0.343,0.294,0.299,0.282,0.264,0.326,0.292,1.117,0.055,0.144,0.030,0.018,0.183
503,0.1,0,0.9,5/3/2017,4300266.252,418621.4718,38.847453,-75.937776,IMG_2366.JPG,cereal,Yes,0.117,0.123,0.154,0.179,0.198,0.252,0.280,0.310,0.336,0.290,0.310,0.318,0.272,0.276,0.261,0.246,0.300,0.270,1.113,0.053,0.129,0.029,0.016,0.173
504,0.22,0,0.78,5/3/2017,4300226.764,418597.72,38.847095,-75.938045,IMG_2367.JPG,cereal,Yes,0.121,0.129,0.162,0.190,0.208,0.268,0.297,0.329,0.339,0.294,0.314,0.321,0.275,0.279,0.263,0.248,0.304,0.273,1.115,0.055,0.133,0.029,0.016,0.177
505,0.195,0,0.805,5/3/2017,4300224.574,418551.6123,38.847071,-75.938576,IMG_2368.JPG,cereal,Yes,0.122,0.131,0.168,0.197,0.216,0.278,0.310,0.341,0.358,0.312,0.333,0.339,0.290,0.296,0.278,0.260,0.322,0.288,1.119,0.056,0.145,0.032,0.019,0.179
506,0.355,0,0.645,5/3/2017,4300254.015,418483.8721,38.84733,-75.93936,IMG_2369.JPG,cereal,Yes,0.119,0.128,0.164,0.192,0.212,0.274,0.306,0.336,0.352,0.307,0.328,0.335,0.287,0.292,0.274,0.258,0.318,0.284,1.117,0.055,0.140,0.030,0.017,0.183
507,0.095,0,0.905,5/3/2017,4300300.441,418480.4441,38.847748,-75.939405,IMG_2370.JPG,cereal,Yes,0.117,0.126,0.163,0.192,0.212,0.274,0.306,0.335,0.348,0.302,0.323,0.331,0.284,0.289,0.271,0.255,0.313,0.281,1.111,0.053,0.132,0.031,0.017,0.183
508,0.27,0,0.73,5/3/2017,4300363.704,418501.8371,38.84832,-75.939166,IMG_2371.JPG,cereal,Yes,0.115,0.124,0.156,0.182,0.199,0.258,0.288,0.316,0.323,0.276,0.295,0.302,0.255,0.259,0.246,0.231,0.285,0.253,1.128,0.060,0.136,0.026,0.013,0.182
509,0.115,0,0.885,5/3/2017,4300399.405,418548.462,38.848646,-75.938633,IMG_2372.JPG,cereal,Yes,0.118,0.127,0.161,0.187,0.206,0.266,0.299,0.327,0.329,0.283,0.301,0.308,0.262,0.266,0.253,0.236,0.292,0.261,1.120,0.057,0.132,0.026,0.013,0.184
510,0.195,0,0.805,5/3/2017,4300443.75,418574.6935,38.849048,-75.938336,IMG_2373.JPG,cereal,Yes,0.116,0.121,0.150,0.175,0.191,0.248,0.278,0.306,0.309,0.265,0.282,0.290,0.246,0.249,0.239,0.224,0.274,0.245,1.118,0.056,0.122,0.021,0.010,0.185
511,0.42,0.005918367,0.574081633,5/3/2017,4299526.875,417058.7312,38.840645,-75.955693,IMG_2378.JPG,cereal,Yes,0.110,0.108,0.136,0.152,0.165,0.255,0.313,0.345,0.369,0.286,0.308,0.309,0.242,0.246,0.232,0.212,0.297,0.240,1.240,0.107,0.242,0.029,0.014,0.310
512,0.31,0.011694915,0.678305085,5/3/2017,4299531.549,417089.3329,38.84069,-75.955341,IMG_2379.JPG,maize_cereal,No,0.116,0.113,0.136,0.151,0.164,0.239,0.288,0.321,0.361,0.295,0.314,0.316,0.256,0.260,0.245,0.228,0.304,0.254,1.200,0.091,0.214,0.028,0.014,0.274
513,0.41,0,0.59,5/3/2017,4299531.258,417117.1919,38.84069,-75.95502,IMG_2380.JPG,maize_cereal,No,0.128,0.126,0.147,0.165,0.183,0.242,0.284,0.319,0.352,0.303,0.319,0.321,0.267,0.271,0.256,0.239,0.311,0.265,1.173,0.080,0.194,0.029,0.015,0.217
514,0.45,0.011578947,0.538421053,5/3/2017,4299518.444,417153.8603,38.840578,-75.954596,IMG_2381.JPG,maize_cereal,No,0.122,0.117,0.136,0.152,0.167,0.224,0.267,0.299,0.343,0.294,0.309,0.311,0.255,0.258,0.244,0.228,0.301,0.252,1.193,0.088,0.206,0.027,0.014,0.230
515,0.195,0.056690141,0.748309859,5/3/2017,4299500.081,417190.6443,38.840416,-75.95417,IMG_2382.JPG,maize_cereal,No,0.113,0.108,0.125,0.139,0.152,0.212,0.256,0.287,0.338,0.291,0.307,0.308,0.254,0.257,0.243,0.225,0.299,0.251,1.189,0.086,0.200,0.027,0.013,0.253
516,0.31,0,0.69,5/3/2017,4299482.289,417247.0509,38.840261,-75.953518,IMG_2383.JPG,maize_cereal,No,0.109,0.108,0.133,0.148,0.163,0.246,0.306,0.341,0.383,0.300,0.321,0.319,0.253,0.258,0.241,0.221,0.311,0.250,1.241,0.108,0.255,0.034,0.017,0.306
